date,open,high,low,close,volume,is_anomaly,ticker
2021-04-27,23.65,23.65,23.65,23.65,7500,False,LIVEN
2021-04-28,23.0,23.0,23.0,23.0,1000,False,LIVEN
2021-05-17,22.5,22.5,21.4,21.43,2500,False,LIVEN
2021-05-18,20.0,21.0,19.83,21.0,8000,False,LIVEN
2021-05-20,22.22,22.57,20.57,22.57,21000,False,LIVEN
2021-05-24,24.26,24.26,24.26,24.26,12500,False,LIVEN
2021-05-25,25.97,25.97,25.97,25.97,500,False,LIVEN
2021-05-26,27.91,27.91,27.91,27.91,500,False,LIVEN
2021-05-27,30.0,30.0,29.0,29.67,6500,False,LIVEN
2021-05-28,29.0,29.0,29.0,29.0,500,False,LIVEN
2021-05-31,30.0,30.0,30.0,30.0,3000,False,LIVEN
2021-06-01,32.25,32.25,30.0,32.25,1500,False,LIVEN
2021-06-02,31.0,34.66,31.0,34.66,1500,False,LIVEN
2021-06-03,33.0,37.25,32.1,37.0,4500,False,LIVEN
2021-06-04,34.25,34.25,34.23,34.23,11500,False,LIVEN
2021-06-07,31.67,31.67,31.67,31.67,4000,False,LIVEN
2021-06-09,29.31,33.0,29.31,33.0,1000,False,LIVEN
2021-06-10,30.55,30.55,30.53,30.53,1000,False,LIVEN
2021-06-11,28.25,28.25,28.25,28.25,3000,False,LIVEN
2021-06-14,27.01,27.01,26.14,26.14,1500,False,LIVEN
2021-06-18,25.01,25.01,24.2,24.2,4000,False,LIVEN
2021-06-21,22.39,25.75,22.39,25.7,116000,False,LIVEN
2021-06-22,25.7,25.7,25.7,25.7,1500,False,LIVEN
2021-06-24,25.7,25.8,25.0,25.0,20000,False,LIVEN
2021-07-13,23.15,23.15,23.15,23.15,3500,False,LIVEN
2021-07-14,21.46,21.46,21.45,21.45,2500,False,LIVEN
2021-07-15,20.01,20.1,19.85,19.85,3000,False,LIVEN
2021-07-16,21.3,21.3,21.3,21.3,500,False,LIVEN
2021-07-19,22.89,22.89,22.8,22.89,2000,False,LIVEN
2021-07-23,21.26,23.5,21.26,23.5,1000,False,LIVEN
2021-07-27,25.2,25.2,25.2,25.2,500,False,LIVEN
2021-07-28,23.35,26.85,23.35,26.85,1500,False,LIVEN
2021-07-29,27.9,27.9,27.9,27.9,500,False,LIVEN
2021-07-30,26.0,26.0,26.0,26.0,2000,False,LIVEN
2021-08-03,25.99,25.99,25.99,25.99,500,False,LIVEN
2021-08-04,24.11,24.11,24.05,24.05,3000,False,LIVEN
2021-08-05,22.25,22.25,22.25,22.25,4000,False,LIVEN
2021-08-06,22.25,22.25,20.59,20.59,1000,False,LIVEN
2021-08-09,0.0,20.59,20.59,20.59,500,True,LIVEN
2021-08-10,21.0,21.0,19.18,19.18,5000,False,LIVEN
2021-08-11,18.61,20.61,18.6,20.61,3000,False,LIVEN
2021-08-12,19.62,20.6,19.07,19.07,33000,False,LIVEN
2021-08-16,17.64,19.95,17.64,19.95,3500,False,LIVEN
2021-08-20,19.0,21.2,18.46,18.46,131000,False,LIVEN
2021-08-23,18.47,18.47,18.47,18.47,15000,False,LIVEN
2021-08-24,18.46,19.85,17.25,19.43,26500,False,LIVEN
2021-08-25,19.35,19.35,19.35,19.35,7500,False,LIVEN
2021-08-26,20.74,20.74,18.52,18.79,5500,False,LIVEN
2021-08-27,18.75,19.8,18.5,19.17,12000,False,LIVEN
2021-08-30,17.78,19.04,17.75,19.0,7000,False,LIVEN
2021-08-31,19.1,20.42,19.1,19.9,22000,False,LIVEN
2021-09-01,19.01,20.0,19.01,20.0,1500,False,LIVEN
2021-09-02,20.5,20.5,20.5,20.5,1500,False,LIVEN
2021-09-07,21.88,21.88,21.0,21.0,1500,False,LIVEN
2021-09-08,19.5,19.6,19.5,19.5,4000,False,LIVEN
2021-09-15,18.1,20.8,18.1,20.8,1000,False,LIVEN
2021-09-16,19.24,19.5,19.24,19.5,3500,False,LIVEN
2021-09-17,19.9,19.9,19.9,19.9,500,False,LIVEN
2021-09-20,18.45,18.45,18.45,18.45,500,False,LIVEN
2021-09-23,18.0,18.0,17.07,18.0,2500,False,LIVEN
2021-09-24,16.71,16.71,16.71,16.71,500,False,LIVEN
2021-09-27,16.95,16.95,15.47,15.47,1000,False,LIVEN
2021-09-28,15.65,16.63,15.65,16.63,2000,False,LIVEN
2021-10-01,0.0,16.63,16.63,16.63,500,True,LIVEN
2021-10-06,16.01,17.0,15.39,15.39,15000,False,LIVEN
2021-10-07,15.02,15.02,14.24,14.27,10000,False,LIVEN
2021-10-08,13.51,13.99,13.5,13.99,4000,False,LIVEN
2021-10-11,13.02,13.02,13.0,13.0,6000,False,LIVEN
2021-10-15,13.0,13.0,13.0,13.0,500,False,LIVEN
2021-10-18,13.99,13.99,13.99,13.99,500,False,LIVEN
2021-10-25,0.0,0.0,0.0,13.99,0,True,LIVEN
2021-10-27,12.95,12.95,12.95,12.95,500,False,LIVEN
2021-10-29,13.95,13.95,13.95,13.95,500,False,LIVEN
2021-11-01,0.0,13.95,13.95,13.95,500,True,LIVEN
2021-11-02,14.99,14.99,14.99,14.99,500,False,LIVEN
2021-11-03,16.11,16.11,16.11,16.11,3000,False,LIVEN
2021-11-04,17.3,17.3,17.3,17.3,500,False,LIVEN
2021-11-05,18.59,18.59,18.59,18.59,9000,False,LIVEN
2021-11-08,19.98,19.98,19.98,19.98,500,False,LIVEN
2021-11-09,21.47,21.47,21.47,21.47,21000,False,LIVEN
2021-11-10,0.0,0.0,0.0,23.08,0,True,LIVEN
